Rank(w), Word, Freq(w), r*P(w), log(r), log(Freq(w)) 
90,long,250,0.13091289928434283,1.954242509439325,2.3979400086720375,
91,said,247,0.1307790772095188,1.9590413923210936,2.392696953259666,
92,your,240,0.12846919183103508,1.9637878273455553,2.380211241711606,
93,yet,237,0.12824227613894223,1.968482948553935,2.374748346010104,
94,after,236,0.1290743003432827,1.9731278535996986,2.3729120029701067,
95,man,236,0.13044743119799848,1.9777236052888478,2.3729120029701067,
96,little,232,0.12958631523826147,1.9822712330395684,2.3654879848909,
97,Ahab,232,0.13093617268866004,1.9867717342662448,2.3654879848909,
98,ship,227,0.12943503811019957,1.9912260756924949,2.3560258571931225,
99,do,227,0.1307558038052016,1.99563519459755,2.3560258571931225,
100,three,224,0.1303310641764124,2.0,2.3502480183341627,
101,did,221,0.1298714144411474,2.0043213737826426,2.3443922736851106,
102,every,218,0.12937685459940654,2.0086001717619175,2.3384564936046046,
103,In,215,0.12884738465118986,2.012837224705172,2.3324384599156054,
104,through,209,0.12646767905975448,2.0170333392987803,2.3201462861110542,
105,round,209,0.12768371443532903,2.0211892990699383,2.3201462861110542,
106,thou,208,0.12828300459649736,2.0253058652647704,2.3180633349627615,
107,last,208,0.1294932216209926,2.0293837776852097,2.3180633349627615,
108,may,208,0.13070343864548786,2.03342375548695,2.3180633349627615,
109,could,207,0.13127945540233898,2.037426497940624,2.315970345456918,
110,being,204,0.13056379821958458,2.041392685158225,2.3096301674258988,
111,much,200,0.12916739396055157,2.0453229787866576,2.3010299956639813,
112,same,199,0.12967940885553034,2.0492180226701815,2.298853076409707,
113,our,197,0.12952231337638914,2.0530784434834195,2.294466226161593,
114,first,196,0.13000523651597137,2.0569048513364727,2.292256071356476,
115,while,194,0.12980741257927503,2.060697840353612,2.287801729930226,
116,time,193,0.13026124396346075,2.0644579892269186,2.285557309007774,
117,see,190,0.1293419444929307,2.0681858617461617,2.278753600952829,
118,never,188,0.1290743003432827,2.0718820073061255,2.27415784926368,
119,He,187,0.1294757665677547,2.0755469613925306,2.271841606536499,
120,should,180,0.1256763833129691,2.0791812460476247,2.255272505103306,
121,almost,179,0.12601966602664805,2.0827853703164503,2.2528530309798933,
122,own,179,0.1270611508698435,2.0863598306747484,2.2528530309798933,
123,might,176,0.12595566416477572,2.089905111439398,2.24551266781415,
124,ever,175,0.12625821842089952,2.093421685162235,2.2430380486862944,
125,can,170,0.12363996043521266,2.0969100130080562,2.230448921378274,
126,even,169,0.12389596788270205,2.100370545117563,2.2278867046136734,
127,how,168,0.12414033862803281,2.103803720955957,2.225309281725863,
128,where,167,0.12437307267120498,2.1072099696478683,2.2227164711475833,
129,For,165,0.1238436027229883,2.110589710299249,2.2174839442139063,
130,off,164,0.12404724501076395,2.113943352306837,2.214843848047698,
131,Captain,162,0.12347704660499215,2.1172712956557644,2.2095150145426308,
132,good,159,0.12211555245243498,2.12057393120585,2.2013971243204513,
133,among,158,0.1222668295804969,2.123851640967086,2.1986570869544226,
134,many,157,0.12240647000640019,2.1271047983648077,2.1958996524092336,
135,made,155,0.12174899633443882,2.130333768495006,2.1903316981702914,
136,way,151,0.11948565776458951,2.1335389083702174,2.1789769472931693,
137,far,151,0.12036422877756443,2.1367205671564067,2.1789769472931693,
