Name of Restaurant, City, Country Code, Day of Week, Start Time, End Time
1917 American Bistro,Detroit,US,0,10:00am,10:00am
1917 American Bistro,Detroit,US,1,10:00am,10:00am
1917 American Bistro,Detroit,US,2,10:00am,10:00am
1917 American Bistro,Detroit,US,3,10:00am,10:00am
1917 American Bistro,Detroit,US,4,10:00am,10:00am
1917 American Bistro,Detroit,US,5,10:00am,10:00am
1917 American Bistro,Detroit,US,6,10:00am,10:00am
2 Amys Neapolitan Pizzeria,Washington,US,0,5:00pm,5:00pm
2 Amys Neapolitan Pizzeria,Washington,US,1,11:00am,11:00am
2 Amys Neapolitan Pizzeria,Washington,US,2,11:00am,11:00am
2 Amys Neapolitan Pizzeria,Washington,US,3,11:00am,11:00am
2 Amys Neapolitan Pizzeria,Washington,US,4,11:00am,11:00am
2 Amys Neapolitan Pizzeria,Washington,US,5,11:00am,11:00am
2 Amys Neapolitan Pizzeria,Washington,US,6,0:00pm,0:00pm
20 Spot,San Francisco,US,0,5:00pm,5:00pm
20 Spot,San Francisco,US,1,5:00pm,5:00pm
20 Spot,San Francisco,US,2,5:00pm,5:00pm
20 Spot,San Francisco,US,3,5:00pm,5:00pm
20 Spot,San Francisco,US,4,5:00pm,5:00pm
20 Spot,San Francisco,US,5,5:00pm,5:00pm
204 North Kitchen & Cocktails,Charlotte,US,0,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,1,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,2,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,3,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,4,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,5,11:00am,11:00am
204 North Kitchen & Cocktails,Charlotte,US,6,11:00am,11:00am
20th Street Café,Denver,US,1,06:30am,06:30am
20th Street Café,Denver,US,2,06:30am,06:30am
20th Street Café,Denver,US,3,06:30am,06:30am
20th Street Café,Denver,US,4,06:30am,06:30am
20th Street Café,Denver,US,5,07:00am,07:00am
20th Street Café,Denver,US,6,07:00am,07:00am
21 Shanghai House,New York,US,0,11:00am,11:00am
21 Shanghai House,New York,US,1,11:00am,11:00am
21 Shanghai House,New York,US,2,11:00am,11:00am
21 Shanghai House,New York,US,3,11:00am,11:00am
21 Shanghai House,New York,US,4,11:00am,11:00am
21 Shanghai House,New York,US,5,11:00am,11:00am
21 Shanghai House,New York,US,6,11:00am,11:00am
24grille,Detroit,US,0,11:00am,11:00am
24grille,Detroit,US,1,11:00am,11:00am
24grille,Detroit,US,2,11:00am,11:00am
24grille,Detroit,US,3,11:00am,11:00am
24grille,Detroit,US,4,11:00am,11:00am
24grille,Detroit,US,5,11:00am,11:00am
24grille,Detroit,US,6,11:00am,11:00am
259 Cafe,Perth,AU,0,10:00am,10:00am
259 Cafe,Perth,AU,2,10:00am,10:00am
259 Cafe,Perth,AU,3,10:00am,10:00am
259 Cafe,Perth,AU,4,10:00am,10:00am
259 Cafe,Perth,AU,5,09:00am,09:00am
259 Cafe,Perth,AU,6,09:00am,09:00am
26 grains,London,GB,0,08:00am,08:00am
26 grains,London,GB,1,08:00am,08:00am
26 grains,London,GB,2,08:00am,08:00am
26 grains,London,GB,3,08:00am,08:00am
26 grains,London,GB,4,08:00am,08:00am
26 grains,London,GB,5,10:00am,10:00am
26 grains,London,GB,6,10:00am,10:00am
2nd City,New York,US,0,11:00am,11:00am
2nd City,New York,US,1,11:00am,11:00am
2nd City,New York,US,2,11:00am,11:00am
2nd City,New York,US,3,11:00am,11:00am
2nd City,New York,US,4,11:00am,11:00am
2nd City,New York,US,5,11:00am,11:00am
2nd City,New York,US,6,11:00am,11:00am
3 Arts Club Cafe,Chicago,US,0,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,1,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,2,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,3,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,4,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,5,10:00am,10:00am
3 Arts Club Cafe,Chicago,US,6,11:00am,11:00am
3 Bro's Kabab House,Houston,US,0,11:00am,11:00am
3 Bro's Kabab House,Houston,US,1,11:00am,11:00am
3 Bro's Kabab House,Houston,US,2,11:00am,11:00am
3 Bro's Kabab House,Houston,US,3,11:00am,11:00am
3 Bro's Kabab House,Houston,US,4,2:00pm,2:00pm
3 Bro's Kabab House,Houston,US,5,11:00am,11:00am
3 Bro's Kabab House,Houston,US,6,11:00am,11:00am
3 Greeks Grill,Long Island City,US,0,11:00am,11:00am
3 Greeks Grill,Long Island City,US,1,11:00am,11:00am
3 Greeks Grill,Long Island City,US,2,11:00am,11:00am
3 Greeks Grill,Long Island City,US,3,11:00am,11:00am
3 Greeks Grill,Long Island City,US,4,11:00am,11:00am
3 Greeks Grill,Long Island City,US,5,11:00am,11:00am
3 Greeks Grill,Long Island City,US,6,11:00am,11:00am
3 Wise Monkeys Pub,Sydney,AU,0,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,1,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,2,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,3,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,4,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,5,10:00am,10:00am
3 Wise Monkeys Pub,Sydney,AU,6,10:00am,10:00am
32 Shea,Phoenix,US,0,06:00am,06:00am
32 Shea,Phoenix,US,1,06:00am,06:00am
32 Shea,Phoenix,US,2,06:00am,06:00am
32 Shea,Phoenix,US,3,06:00am,06:00am
32 Shea,Phoenix,US,4,06:00am,06:00am
32 Shea,Phoenix,US,5,07:00am,07:00am
32 Shea,Phoenix,US,6,07:00am,07:00am
360 Bar and Restaurant,Sydney,AU,0,0:00pm,0:00pm
360 Bar and Restaurant,Sydney,AU,0,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,1,0:00pm,0:00pm
360 Bar and Restaurant,Sydney,AU,1,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,2,0:00pm,0:00pm
360 Bar and Restaurant,Sydney,AU,2,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,3,0:00pm,0:00pm
360 Bar and Restaurant,Sydney,AU,3,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,4,0:00pm,0:00pm
360 Bar and Restaurant,Sydney,AU,4,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,5,4:30pm,4:30pm
360 Bar and Restaurant,Sydney,AU,6,4:30pm,4:30pm
38 Espresso,Kingston,AU,0,07:00am,07:00am
38 Espresso,Kingston,AU,1,07:00am,07:00am
